item,name,startDate,endDate,psid
Q16106631,Raúl Santos Galván Villanueva,2012-09-01,2015-08-31,Q16106631-D9660308-CE3B-4F8D-91C4-3C11479CB859
Q16106929,Irma Elizondo Ramírez,2012-09-01,2015-08-31,Q16106929-19D73B71-985C-4AAA-84D4-85215ED6D4E9
Q16107392,José Antonio León Mendívil,2012-09-01,2015-08-31,Q16107392-24CF50C5-0F53-4A9A-AE37-EC5A34678FEB
Q16107496,Glafiro Salinas Mendiola,2012-09-01,2015-08-31,Q16107496-1F265BD9-D8E2-4AC4-B187-1BD2CBBF113F
Q16107515,José Soto Martínez,2012-09-01,2015-08-31,Q16107515-8422AF73-5A47-4DF2-928E-060481B6CCA6
Q16114032,Víctor Manuel Bautista López,2012-09-01,2015-08-31,Q16114032-3D16F544-28C8-4BC1-92AA-67D334BCAEA0
Q16114270,Mario Miguel Carrillo Huerta,2012-09-01,2015-08-31,Q16114270-FE85440D-E5ED-447A-BFE3-7E04D6C88B9C
Q16120664,Jorge del Ángel Acosta,2012-09-01,2015-08-31,Q16120664-62F87204-D7C5-4D96-942E-BF37A4BEED9E
Q16120979,María Esther Garza Moreno,2012-09-01,2015-08-31,Q16120979-45FF986E-5910-44F7-A746-BAAC0B6E41A8
Q16122010,José Luis Muñóz Soria,2012-09-01,2015-08-31,Q16122010-01684950-190C-4217-BF97-4C82893D1E4F
Q16143384,Rafael Acosta Croda,2012-09-01,2015-08-31,Q16143384-935A1708-F8B6-43A1-AA49-B5418E3E4215
Q16144304,Alfonso Inzunza Montoya,2012-09-01,2015-08-31,Q16144304-45B75B3C-CC12-466A-8353-454ABD8311A1
Q16144498,Alfredo Anaya Gudiño,2012-09-01,2015-08-31,Q16144498-F071977C-D48D-4125-A0EA-03981AEA4EEC
Q16144531,Carlos Angulo Parra,2012-09-01,2015-08-31,Q16144531-01E4658C-D30A-4F35-B739-236118382DC5
Q16144557,Kamel Athié Flores,2012-09-01,2015-08-31,Q16144557-28063843-976A-46FA-BCB6-76FE8D75343B
Q16144704,Jaime Bonilla Valdez,2012-09-01,2015-04-28,Q16144704-64007568-f68b-4563-b32c-a33cdb7c1c00
Q16145023,Víctor Emanuel Díaz Palacios,2012-09-01,2015-08-31,Q16145023-2CEC506B-1FD3-4E81-B3EF-F3DFF08A3CCA
Q16145455,Tomás López Landero,2012-09-01,2015-08-31,Q16145455-A3079F22-0D31-4A2C-91E7-AA2FE2399A57
Q16145573,Juan Carlos Muñoz Márquez,2012-09-01,2015-08-31,Q16145573-796731BF-876D-4B1C-B2AB-42C2D597719A
Q16145714,Blas Ramón Rubio Lara,2012-09-01,2015-08-31,Q16145714-3F1C3A64-49D9-4BCB-9942-1F81317A990B
Q16146024,Darío Badillo Ramírez,2012-09-01,2015-08-31,Q16146024-D96F961C-4F27-41D0-BB3C-60FBF9B7AE49
Q16146032,Alma Jeanny Arroyo Ruiz,2012-09-01,2015-08-31,Q16146032-75B4E128-8A56-4FF1-A509-DDAABEFC453C
Q16146176,Brasil Acosta Peña,2012-09-01,2015-08-31,Q16146176-A0C778BB-4BE8-46D5-A947-B67065E18F16
Q16146189,Rubén Acosta Montoya,2012-09-01,2015-08-31,Q16146189-6E77B43E-6349-4F94-8ADE-50F5317CEA21
